MunID,pct_change,year_pair
1009,-0.5437883537269859,2020-2021
1012,-0.4458680602263435,2020-2021
1016,-1.5944569054537092,2020-2021
1026,-1.9067085028708586,2020-2021
1037,1.1167635673760734,2020-2021
1047,-0.8244410978968714,2020-2021
2000,2.932507958269024,2020-2021
2001,1.1146724754940096,2020-2021
2005,1.7770482733321356,2020-2021
2008,-0.08948847108002149,2020-2021
2011,1.4099959542527545,2020-2021
2030,1.4824689562519662,2020-2021
2036,3.2881258374332605,2020-2021
2044,1.7858735347579309,2020-2021
2048,4.359003900566801,2020-2021
6005,0.4062076512290109,2020-2021
7000,0.4882129219898908,2020-2021
7003,-1.106794952584946,2020-2021
7006,-0.1439329220535164,2020-2021
7008,-1.454833591271359,2020-2021
7011,-0.6281849618101976,2020-2021
7015,-2.242108296096398,2020-2021
7017,0.8301349681135939,2020-2021
7019,-2.036901396547951,2020-2021
7024,3.048384368367708,2020-2021
7030,0.4607778214452188,2020-2021
7033,-3.667830465900282,2020-2021
7040,-0.5215380884477221,2020-2021
7050,0.7778349334423534,2020-2021
7055,0.3828940323410622,2020-2021
9000,3.4646555750557173,2020-2021
9001,2.513117657074105,2020-2021
9004,0.5872854439343191,2020-2021
9007,0.622424421754967,2020-2021
9010,0.22173639228748038,2020-2021
9021,0.10294502020910834,2020-2021
9024,3.0057996615817726,2020-2021
9028,1.269582559900547,2020-2021
9030,3.325033021478549,2020-2021
9033,0.7877654607329488,2020-2021
10000,2.0980302591412463,2020-2021
10002,3.7979583168576565,2020-2021
10005,0.136261197935262,2020-2021
10013,1.4500100501886164,2020-2021
10025,1.13873868701291,2020-2021
10041,1.3538117512261607,2020-2021
11000,5.481483819738075,2020-2021
11002,3.5730567750950293,2020-2021
11010,1.68690760117767,2020-2021
11023,2.2254689961665206,2020-2021
11033,1.912544055751702,2020-2021
12000,3.1923501002912262,2020-2021
12001,2.621528649031492,2020-2021
12002,1.7639350057444418,2020-2021
12005,-2.7015260724537886,2020-2021
12010,0.9384248250530824,2020-2021
12017,1.1613890487510807,2020-2021
12023,4.400792804330372,2020-2021
12027,1.522388326447954,2020-2021
12036,3.4353826824568876,2020-2021
12039,3.837732626886317,2020-2021
12048,1.25591306179892,2020-2021
12051,0.15152271354636612,2020-2021
12054,1.9388668696302447,2020-2021
12058,1.2498742022770686,2020-2021
12061,3.3849056948716307,2020-2021
12067,3.068094553132493,2020-2021
12073,1.4360181287325438,2020-2021
13002,2.7645660907102547,2020-2021
14000,2.6842393450176227,2020-2021
14005,1.969858356872113,2020-2021
14010,1.6931878665008109,2020-2021
14015,0.8990520762759157,2020-2021
14019,1.6803611604739415,2020-2021
14021,-1.8902830023621846,2020-2021
14022,1.1098208666470963,2020-2021
14028,2.061310045828372,2020-2021
15000,3.255979646010014,2020-2021
15002,3.510809601531553,2020-2021
15005,2.2376805344899773,2020-2021
15012,2.3607785170361892,2020-2021
15014,0.4987735797689489,2020-2021
15017,2.0122119288177123,2020-2021
15021,3.2418824386592835,2020-2021
15030,1.2548854935994305,2020-2021
15035,1.630363591665294,2020-2021
15041,1.736717805042683,2020-2021
16002,1.7920278163904222,2020-2021
18000,4.376416941407737,2020-2021
18001,2.8771151632964402,2020-2021
18005,2.770062992714152,2020-2021
18009,3.390438442385842,2020-2021
18013,0.32638694315186423,2020-2021
18017,2.982434916740286,2020-2021
18020,3.2590069931488657,2020-2021
18029,1.528766852167546,2020-2021
18039,5.311212176015923,2020-2021
19000,2.8881599276035406,2020-2021
19028,0.8833911629533135,2020-2021
19036,1.166989143344007,2020-2021
19038,1.3797388131433495,2020-2021
19044,3.8897454306227734,2020-2021
19046,3.0583441146831527,2020-2021
19048,1.4504614156534665,2020-2021
19049,1.7195678873559155,2020-2021
19054,4.094126410977612,2020-2021
19070,2.0625543325850244,2020-2021
20002,-0.3893025045343996,2020-2021
21000,3.3990839814897207,2020-2021
21005,0.2553592063149894,2020-2021
21010,0.8425134147175477,2020-2021
21024,2.2196207728673416,2020-2021
22000,2.6979863494653378,2020-2021
22001,3.355222170162654,2020-2021
22005,2.898370627838167,2020-2021
22008,1.6629853959068055,2020-2021
22012,1.3615649544749688,2020-2021
22014,1.063087790478104,2020-2021
22016,1.7761608520287293,2020-2021
22019,1.0899239383569184,2020-2021
22021,2.9582127534077913,2020-2021
23000,3.0444348972011936,2020-2021
23001,0.1788396158010922,2020-2021
23005,1.7639054645080174,2020-2021
23008,0.500320858824732,2020-2021
23010,2.7990851055966846,2020-2021
23015,1.292405742221971,2020-2021
23020,1.5004746976995136,2020-2021
23023,1.210034502519285,2020-2021
23040,1.5039303565825446,2020-2021
24000,3.3752249819421465,2020-2021
24001,2.6147290302137196,2020-2021
24002,1.7152507412513205,2020-2021
24009,4.29571030060332,2020-2021
24015,2.818320978634142,2020-2021
25005,2.181712661797924,2020-2021
26000,3.2390267203626406,2020-2021
26003,2.235133395861296,2020-2021
26011,4.366292818230677,2020-2021
26014,4.676355383207558,2020-2021
26021,3.0584720066717845,2020-2021
26028,4.3626398220943905,2020-2021
26032,2.370876877692905,2020-2021
26037,4.950498471519487,2020-2021
26043,1.009249534432094,2020-2021
26047,1.130260236007965,2020-2021
26053,0.6283822533201354,2020-2021
26057,3.2721369919571397,2020-2021
26065,1.5276905569890928,2020-2021
28005,1.6793738025707865,2020-2021
28030,3.2738871613299936,2020-2021
29002,1.942987911505543,2020-2021
29006,0.2757345241710395,2020-2021
30000,2.051480958072405,2020-2021
30001,1.0769274922016696,2020-2021
30006,-3.2829548235753556,2020-2021
30012,-1.5348946497884406,2020-2021
30016,-1.4463152696312709,2020-2021
30018,0.5710353164411417,2020-2021
30024,1.6916894946895609,2020-2021
30029,-0.7653148997639012,2020-2021
31000,3.50775748047095,2020-2021
31002,0.2376596271692461,2020-2021
31008,0.2811690152251377,2020-2021
31011,-0.8117572216424344,2020-2021
31016,-0.7075666190606762,2020-2021
31017,0.7910333134088744,2020-2021
31035,1.9934329903098407,2020-2021
32000,1.399479619302395,2020-2021
32002,1.1903883488731928,2020-2021
32004,-4.385029402072617,2020-2021
32011,1.1835561435653343,2020-2021
32018,-1.112246593647939,2020-2021
32027,0.4765930658036286,2020-2021
32038,1.4513470818960394,2020-2021
32042,0.5207282839672599,2020-2021
32045,-0.9223239211540789,2020-2021
34000,4.7793795731297815,2020-2021
34003,3.867500317648951,2020-2021
34007,2.1089276983708753,2020-2021
34011,2.0465178677087392,2020-2021
34015,5.081211644427565,2020-2021
34021,1.9591163481256846,2020-2021
34024,4.0159153340538785,2020-2021
34028,3.586811182286426,2020-2021
34035,2.7779198417975075,2020-2021
36003,0.88658117978137,2020-2021
37000,2.5341713842021365,2020-2021
37001,2.5672576017975484,2020-2021
37003,0.43886232825939675,2020-2021
37008,1.6591245863208635,2020-2021
37020,-0.19613074942588213,2020-2021
37025,1.9378333331622162,2020-2021
37034,2.965423086601084,2020-2021
37039,0.2914166562630312,2020-2021
37043,-1.7280563572465153,2020-2021
37049,1.5023789968737833,2020-2021
38000,2.5700716947716447,2020-2021
38002,-1.0116045782094887,2020-2021
38005,-1.314698877844015,2020-2021
38011,-0.5353553222761548,2020-2021
38016,1.2582150650786912,2020-2021
38018,0.30942381690327103,2020-2021
38019,1.1427040985363959,2020-2021
38030,-0.9830696462114905,2020-2021
38031,-6.525868121383324,2020-2021
38033,1.9096849469332715,2020-2021
38037,0.7912991461659904,2020-2021
38040,-0.40271600016704623,2020-2021
39000,3.0149738630771075,2020-2021
39002,1.4816246795002237,2020-2021
39003,0.6547634463189668,2020-2021
39010,-1.96668190920702,2020-2021
39013,1.2475952924621327,2020-2021
39020,0.5442967661227216,2020-2021
39025,-0.8499593326613387,2020-2021
39036,1.2127133384789353,2020-2021
39041,-3.604953728386559,2020-2021
39057,2.525126729770947,2020-2021
40000,1.9940255236199058,2020-2021
40003,-0.16652181381853334,2020-2021
40010,1.4471342880009386,2020-2021
40015,0.9711167914731808,2020-2021
40025,2.4067167485515304,2020-2021
40028,1.2331233295870203,2020-2021
40030,4.184936883288161,2020-2021
40046,2.522156152255595,2020-2021
40048,2.083821068858384,2020-2021
40050,4.081794171787324,2020-2021
41000,4.790031014022164,2020-2021
41004,3.932704240445107,2020-2021
41010,2.31482644622307,2020-2021
41020,3.0414060145589565,2020-2021
41030,1.9562194510364752,2020-2021
41037,2.684185532947667,2020-2021
41043,4.135346645584752,2020-2021
41053,2.5758264888238123,2020-2021
41061,3.89090016321283,2020-2021
42000,4.231920749608208,2020-2021
42004,4.0529227418549585,2020-2021
42005,4.383500708341996,2020-2021
42013,1.3875909877341082,2020-2021
42029,1.0285649556297483,2020-2021
42031,3.3894222287492384,2020-2021
42041,3.4786544327616373,2020-2021
42047,2.868133787504492,2020-2021
42055,1.98266772805129,2020-2021
42059,-0.26927526295912313,2020-2021
43000,1.9071550225252505,2020-2021
43002,1.2102981839680889,2020-2021
43013,-0.26377592296040325,2020-2021
43017,2.6644947957058203,2020-2021
43021,1.0230216781499162,2020-2021
43025,0.3841223727872128,2020-2021
43030,2.0488789821570026,2020-2021
43031,2.406772199360789,2020-2021
43040,7.858650002213535,2020-2021
43042,0.0024877952783939326,2020-2021
43047,2.2484713519847634,2020-2021
43050,1.657058185626808,2020-2021
43052,-0.6952746548928304,2020-2021
43064,3.9721859553473156,2020-2021
43068,2.5845901029236584,2020-2021
43070,1.8403697324954553,2020-2021
43072,0.3085629145542517,2020-2021
43074,1.330650902820322,2020-2021
43080,2.4802284400513317,2020-2021
44000,3.337425659793014,2020-2021
44002,2.4415639946354766,2020-2021
44018,1.6360642824246183,2020-2021
44027,2.800554478992605,2020-2021
44042,2.654006242563127,2020-2021
44053,2.5247259837486435,2020-2021
44065,-4.841945595050149,2020-2021
46000,4.646796616803445,2020-2021
46002,2.7444359795856395,2020-2021
46011,2.9593327123171265,2020-2021
46020,3.9448305115727402,2020-2021
46024,2.099227727931955,2020-2021
47000,3.645448099500685,2020-2021
47002,1.2107604353168857,2020-2021
47003,1.4138914840512515,2020-2021
47007,2.8869864289432803,2020-2021
47015,2.894371351310861,2020-2021
47018,1.6556456955711947,2020-2021
47023,2.176110210837663,2020-2021
47030,1.4559122484698923,2020-2021
47041,2.3274574005400086,2020-2021
47046,1.3161507225973568,2020-2021
47048,-0.4172552889691941,2020-2021
47050,1.900849993750046,2020-2021
47063,0.6876249534505977,2020-2021
47064,-0.27507342441809113,2020-2021
47068,2.6770908703867065,2020-2021
47077,3.7470379797788085,2020-2021
47091,-0.32094118626893964,2020-2021
47096,0.18847863697563674,2020-2021
47098,-7.3912719385029195,2020-2021
48001,1.419671426875751,2020-2021
48017,0.7905129157069661,2020-2021
48019,4.0664215200699685,2020-2021
48021,-2.0038745896210965,2020-2021
48022,4.287941999093736,2020-2021
48026,5.905871160609196,2020-2021
48031,0.9835828680432608,2020-2021
48034,1.9244168995897815,2020-2021
48044,1.994644844377145,2020-2021
48050,1.9467163411862565,2020-2021
48069,-0.8581668507350024,2020-2021
49003,1.4458352101795728,2020-2021
49005,1.064327050737389,2020-2021
49012,4.3268222214392384,2020-2021
49014,0.9900448515007314,2020-2021
49018,1.9218984061908269,2020-2021
49019,0.8044689486623704,2020-2021
49022,2.1680105368823517,2020-2021
49024,3.001888687586615,2020-2021
49028,2.7271382815420573,2020-2021
49031,1.24706905680357,2020-2021
49032,2.288015419795975,2020-2021
49036,1.1619897524127278,2020-2021
